mês;ano;hom_doloso;lesao_corp_morte;latrocinio;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;encontro_cadaver;encontro_ossada;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;recuperacao_veiculos;cump_mandado_prisao;ameaca;pessoas_desaparecidas;hom_por_interv_policial;armas_apreendidas;prisoes;grp;apf_cmp;apreensoes;gaai;aaapai_cmba;registro_ocorrencias;pol_militares_mortos_serv;pol_civis_mortos_serv;letalidade;roubo_rua;roubo_veic_meta;fase
6;2008;402;4;19;314;5493;309;220;3375;49;4;407;118;2100;225;5548;771;2;4;728;18;0;1344;1779;0;12048;1;122;2;2012;842;1653;836;4858;415;105;837;1314;;;149;;;52578;3;1;530;7047;2100;3
7;2008;413;4;21;286;5634;295;233;3273;45;1;400;100;2207;258;5918;735;6;2;696;10;0;1436;1714;0;12452;1;142;4;2056;717;1746;1084;5160;436;62;725;1515;;;156;;;54643;3;0;500;7349;2207;3
8;2008;430;10;18;333;6085;321;253;3339;43;8;379;129;2307;237;5602;785;9;5;717;17;0;1562;1894;0;12129;0;121;7;2012;703;1667;1065;5412;465;30;692;1361;;;136;;;54629;2;0;488;7104;2307;3
9;2008;435;4;25;332;5873;356;214;3484;37;4;394;134;2308;226;5625;796;8;3;798;10;0;1434;1772;0;12137;2;134;7;1858;776;1670;933;5380;463;62;676;1299;;;151;;;54732;2;0;526;7219;2308;3
10;2008;557;1;24;357;6598;438;233;3739;35;2;454;141;2630;278;6186;922;1;6;907;14;0;1514;1832;0;12996;0;150;6;1878;797;1885;769;5893;488;74;807;1386;;;178;;;59018;4;1;656;8015;2630;3
11;2008;516;2;24;403;6475;356;259;3406;48;2;415;135;2231;213;5551;781;3;1;719;11;0;1346;1893;0;11878;1;121;4;1750;866;1720;769;6057;506;81;794;1274;;;150;;;54772;1;1;623;7051;2231;3
12;2008;507;2;16;398;6707;372;230;3547;52;2;437;147;2337;300;5857;769;4;4;707;14;0;1343;1782;0;12570;1;206;8;1731;688;1705;783;5645;436;71;665;1245;;;134;;;54934;1;1;596;7333;2337;3
1;2009;551;2;13;378;6631;381;189;3167;41;1;392;125;2573;212;6145;829;5;6;718;12;0;1315;1789;0;12896;0;73;7;1752;830;1883;803;6033;465;94;716;1317;;;163;;;56360;3;0;660;7692;2573;3
2;2009;556;4;19;383;6595;322;204;3230;50;0;381;136;2367;188;6279;788;3;5;659;12;0;1427;1691;0;13037;0;123;6;1644;854;1742;800;5889;414;75;704;1336;;;174;;;55116;3;2;654;7726;2367;3
3;2009;588;5;30;444;7183;441;239;3493;50;0;465;156;2564;236;6686;926;3;3;782;18;0;1624;1830;0;13099;1;128;2;1975;980;1880;1097;6719;553;103;923;1600;;;170;;;61430;2;1;726;8394;2564;3
4;2009;542;3;27;423;6705;359;189;3073;39;2;450;134;2310;226;6369;769;5;6;711;10;0;1341;1759;0;11811;1;118;5;1609;856;1788;1017;5922;429;102;739;1569;;;159;;;55492;1;2;674;7849;2310;3
5;2009;522;0;14;386;6565;372;194;3571;29;3;418;135;2340;236;6506;780;0;12;799;17;0;1330;1679;0;12754;2;112;8;1956;878;1795;944;5904;401;80;789;1534;;;182;;;57585;3;2;616;8085;2340;3
6;2009;439;6;11;378;5640;337;206;3241;32;3;410;143;1968;221;6277;802;6;8;766;13;0;1256;1638;0;11898;0;120;4;1892;827;1737;1105;5376;451;107;764;1475;;;138;;;54415;4;0;563;7845;1968;3
7;2009;397;3;18;322;5669;334;165;3440;43;5;446;129;1982;206;6063;737;4;3;758;11;0;1262;1659;0;12303;2;95;12;2064;873;1613;1173;5352;450;87;760;1501;;;198;;;55197;1;0;505;7558;1982;3
8;2009;432;3;12;398;6132;322;203;3402;41;3;394;116;1928;228;5557;745;5;2;661;12;0;1262;1699;0;12069;0;96;9;1948;985;1533;1247;5447;392;75;716;1765;;;243;;;54526;0;0;522;6963;1928;3
9;2009;433;3;18;365;6678;330;203;3534;37;5;424;147;1728;217;5354;660;3;3;687;14;0;1054;1619;0;12408;2;100;6;1918;1052;1515;1126;5956;442;82;750;1661;;;253;;;54919;2;0;536;6701;1728;3
10;2009;419;1;21;316;6452;363;175;3584;40;4;396;146;1758;187;5247;676;3;4;701;13;0;1072;1680;0;12048;0;85;7;1812;1005;1466;886;5947;427;93;669;1692;;;199;;;53531;3;0;534;6624;1758;3
11;2009;438;4;13;346;7857;230;219;3720;44;4;383;145;1688;224;5336;625;3;2;636;8;0;1114;1576;0;12464;1;95;6;1752;922;1423;879;6688;455;76;737;1516;;;201;;;56000;0;0;531;6597;1688;3
12;2009;476;10;25;333;7137;329;187;3772;49;0;385;150;1830;269;5247;593;2;1;621;10;0;1189;1723;0;13116;2;77;6;1697;928;1538;788;6009;546;74;647;1502;;;192;;;55145;2;0;585;6461;1830;3
1;2010;447;6;19;377;7716;345;161;3511;69;2;373;123;1945;234;5292;568;1;4;622;10;0;1175;1683;0;13167;2;89;5;1716;891;1497;693;6868;481;77;641;1513;;;199;;;56534;3;3;549;6482;1945;3
2;2010;473;3;6;329;7201;391;198;3267;67;1;348;116;1739;221;5361;582;2;1;546;6;0;1126;1669;0;14687;0;65;7;1628;865;1320;755;6403;473;62;541;1479;;;182;;;56299;1;0;544;6489;1739;3
3;2010;492;4;17;391;6767;341;186;3661;57;3;441;148;2041;229;6036;795;2;3;693;14;0;1245;1713;0;13829;2;169;12;2249;933;1584;960;6618;447;81;623;1667;;;218;;;59907;0;0;594;7524;2041;3
4;2010;432;2;11;347;6185;337;216;3209;45;1;420;113;1784;181;5581;716;2;1;574;6;0;1119;1594;0;12201;0;140;6;1813;871;1378;727;6051;437;102;638;1677;;;222;;;53658;0;0;547;6871;1784;3
5;2010;361;7;11;345;6267;345;208;3674;44;2;441;132;1648;215;5749;691;2;3;650;8;0;1110;1670;0;13500;0;122;5;2215;1038;1438;1198;5892;403;109;736;1909;;;254;;;58057;1;0;488;7090;1648;3
6;2010;347;7;12;278;6153;347;185;3462;46;2;363;121;1699;212;5083;669;1;2;613;12;0;1020;1585;0;12679;0;107;11;2032;1006;1399;1065;5707;402;74;666;1534;;;213;;;53942;0;0;440;6365;1699;3
7;2010;324;3;12;288;6050;402;206;3636;29;1;372;103;1666;209;5143;784;1;4;589;9;0;1001;1557;0;12595;0;99;7;2096;1044;1452;1146;6146;439;58;579;1576;;;216;;;55674;3;0;397;6516;1666;3
8;2010;344;8;12;333;6412;402;178;3889;33;2;362;120;1558;184;5166;695;1;2;543;10;0;993;1628;0;12743;1;119;14;2094;1071;1414;1341;6458;436;30;556;1689;;;220;;;56596;0;1;394;6404;1558;3
9;2010;360;1;21;310;6584;402;211;3673;36;3;411;135;1489;211;5200;671;5;5;590;4;0;997;1408;0;12453;1;113;5;2035;1080;1263;1002;6372;472;34;505;1533;;;253;;;54971;2;1;416;6461;1489;3
10;2010;406;7;16;408;7116;359;219;3832;34;3;427;123;1590;170;5266;765;1;3;607;3;0;1077;1545;0;12541;0;122;5;1946;1220;1219;1036;6524;494;71;631;1705;;;295;;;56358;0;0;500;6638;1590;3
11;2010;364;1;7;368;6606;442;182;3291;40;4;338;107;1413;266;4925;646;1;3;518;6;0;939;1318;0;12152;1;135;7;2150;1391;1271;1046;6449;462;102;843;1836;;;306;;;54447;2;0;474;6089;1413;3
12;2010;417;1;12;372;8019;476;250;3740;45;4;371;124;1480;287;4544;620;3;2;443;11;0;1005;1382;0;13477;0;129;4;2079;1135;1333;989;6873;527;55;642;1759;;;228;;;57604;3;0;485;5607;1480;3
1;2011;425;5;9;413;8272;396;179;3923;52;1;409;92;1567;231;4771;616;4;1;505;4;0;1003;1423;0;13591;2;143;14;2025;1068;1375;854;7403;488;61;596;1790;;;250;;;57852;0;0;500;5892;1567;3
2;2011;368;2;7;379;7844;416;187;3727;47;2;453;81;1490;234;4742;588;3;2;516;8;0;1020;1227;0;13954;0;144;5;2121;1094;1288;857;7172;451;39;504;1667;;;221;;;57840;0;0;416;5846;1490;3
3;2011;381;6;9;395;7143;434;243;3716;37;3;401;129;1544;226;5215;621;5;0;515;6;0;1054;1354;0;15946;0;148;7;2267;1283;1329;1200;7072;521;68;663;2181;;;268;;;62560;1;2;464;6351;1544;3
4;2011;403;7;6;387;7100;389;186;3735;60;1;414;105;1491;239;4687;598;1;2;495;13;0;1087;1293;0;13496;1;144;20;2119;1370;1233;1138;7313;469;68;713;2196;;;356;;;58691;0;0;484;5780;1491;3
5;2011;368;3;10;353;6423;417;220;3796;46;6;408;88;1462;273;4640;559;5;0;496;8;0;984;1360;0;13877;0;222;15;2636;1409;1277;1179;6859;452;74;688;2139;;;296;;;59364;2;0;455;5695;1462;3
6;2011;307;2;18;272;6396;395;181;3979;42;2;372;97;1439;247;4433;502;2;1;445;7;0;970;1244;0;12906;0;186;12;2465;1246;1300;1291;6453;498;62;589;1739;;;281;;;56247;0;0;389;5380;1439;3
7;2011;331;2;6;326;6682;365;219;3995;40;7;393;91;1604;221;4562;533;3;0;482;13;0;998;1265;0;12549;1;192;8;2528;1291;1285;1357;6205;438;37;602;1866;;;276;;;56198;1;0;376;5577;1604;3
8;2011;371;2;11;352;7067;423;226;4289;38;6;354;82;1642;253;4725;537;5;1;458;12;0;1045;1250;0;13071;0;194;13;2788;1291;1467;1841;7005;465;18;560;1872;;;283;;;59713;0;0;402;5720;1642;3
9;2011;323;4;8;333;6486;448;234;3935;35;2;343;90;1629;242;4527;546;4;3;407;14;0;1079;1274;0;12901;1;157;18;2611;1287;1374;1523;6440;414;23;580;1842;;;289;;;56593;3;0;358;5480;1629;3
10;2011;318;2;11;345;7036;404;213;3868;36;4;394;115;1695;257;4137;511;1;1;397;6;0;1021;1413;0;12392;2;135;10;2471;1188;1374;1407;6519;427;20;525;1847;;;276;;;56597;0;1;351;5045;1695;3
11;2011;339;2;10;329;6524;380;205;3552;38;6;355;92;1595;300;4076;437;0;1;372;5;0;1025;1263;0;12313;3;153;8;2598;1359;1483;1521;6200;425;33;760;1959;;;334;;;55043;0;0;384;4885;1595;3
12;2011;345;3;13;358;7736;404;220;4219;48;4;356;108;1615;350;4163;418;4;1;303;4;0;1049;1227;0;13411;0;115;13;2617;1387;1357;1491;6632;440;20;655;1992;;;336;;;59577;0;2;381;4884;1615;3
1;2012;329;2;12;412;7490;492;202;3733;44;1;384;104;1630;299;4094;417;3;2;362;4;0;1126;1386;0;13800;0;166;13;2560;1379;1413;1324;6827;513;38;628;1930;;;307;;;58558;0;1;381;4873;1630;3
2;2012;395;2;14;538;7849;479;175;3722;55;1;457;108;1981;288;4533;458;3;2;379;6;0;1106;1367;0;16496;1;123;18;2328;1171;1351;1249;6810;484;35;570;1863;;;318;;;61283;0;0;446;5370;1981;3
3;2012;394;2;17;369;7540;548;168;4092;54;4;479;147;2026;348;4372;479;0;2;407;6;0;1173;1431;0;13925;1;151;5;2857;1549;1643;1621;7350;484;38;635;2052;;;396;;;62187;1;0;451;5258;2026;3
4;2012;342;2;7;387;7361;456;191;3769;46;0;440;121;2066;298;4286;419;2;1;372;12;0;1062;1412;0;12955;1;133;8;2346;1627;1633;1369;6845;462;45;707;2112;;;481;;;58264;2;1;396;5077;2066;3
5;2012;346;1;10;375;6916;473;203;3884;45;6;456;148;2047;342;4676;495;1;2;410;11;0;1086;1373;0;14173;2;205;16;2809;1724;1803;1407;6820;460;41;676;2170;;;482;;;62143;2;1;398;5581;2047;3
6;2012;318;4;9;357;6926;485;209;3714;34;5;446;102;1743;287;4047;424;1;5;355;5;0;997;1266;0;12555;0;243;8;2478;1736;1377;1361;6574;494;19;563;2198;;;525;;;57356;1;0;350;4826;1743;3
7;2012;298;5;15;329;7346;540;227;4164;38;2;481;98;1688;265;4163;377;2;1;407;8;0;971;1331;0;13321;2;196;14;3245;1678;1408;1452;6900;524;49;633;2051;;;466;;;61308;2;0;367;4947;1688;3
8;2012;294;1;11;349;7328;515;220;4221;51;1;422;100;1751;328;4041;345;2;3;371;7;0;1086;1309;0;13419;2;140;7;3248;1644;1395;1537;7025;517;44;594;2151;;;428;;;60926;0;0;350;4757;1751;3
9;2012;331;0;13;327;7214;540;180;4092;48;5;419;104;1754;247;3553;348;1;5;337;11;0;961;1283;0;12029;4;108;6;2631;1437;1300;1363;6838;518;15;530;1915;;;403;;;56387;2;0;359;4238;1754;3
10;2012;314;0;18;376;7791;561;224;4296;47;2;420;89;1762;315;4029;350;1;1;349;10;0;984;1382;0;13343;0;135;8;3182;1545;1473;1261;7365;552;31;591;2038;;;447;;;62040;1;0;363;4728;1762;3
11;2012;325;2;8;343;6900;490;206;3744;26;2;398;96;1728;288;3898;362;2;1;312;4;0;1044;1362;0;12654;0;127;9;3031;1678;1374;1245;6369;463;38;636;2026;;;472;;;56523;0;1;373;4572;1728;3
12;2012;395;3;8;412;8805;496;239;4124;50;1;411;104;1889;351;3868;367;2;5;301;8;0;1019;1361;0;13806;0;110;7;2848;1522;1276;1147;7515;504;26;604;2050;;;317;;;61758;3;0;432;4536;1889;3
1;2013;397;2;11;383;6800;514;175;3396;46;2;489;125;1946;336;4352;405;0;4;348;8;0;963;1413;0;14698;1;166;10;3328;1751;1542;1167;7026;554;29;615;2120;;;402;;;61491;0;0;439;5105;1946;3
2;2013;389;4;6;457;8371;512;171;3462;44;4;452;118;1909;258;4678;421;2;6;372;9;0;953;1316;0;16239;1;138;9;2780;1866;1485;1174;7171;499;29;679;2454;;;617;;;64179;1;0;428;5471;1909;3
3;2013;411;1;11;479;7944;508;163;3895;64;4;534;139;2256;262;4792;462;0;1;366;14;0;1119;1509;0;13328;0;152;13;3060;2151;1620;1426;7574;560;38;719;2713;;;711;;;64660;1;0;461;5620;2256;3
4;2013;417;8;10;352;7310;545;146;3775;38;1;524;131;2185;290;4934;415;4;11;400;6;0;1174;1414;0;13161;0;140;2;3316;2096;1769;1459;6877;577;37;753;2627;;;593;;;63662;1;0;472;5749;2185;3
5;2013;430;2;8;396;7301;482;175;3600;48;4;661;131;2139;307;5194;550;2;2;467;16;0;1226;1429;0;13209;0;125;2;3217;2041;1728;1564;6960;499;41;671;2589;;;548;;;64934;1;1;481;6211;2139;3
6;2013;362;4;16;378;7346;483;195;3988;35;5;641;110;2242;229;4720;494;3;3;497;15;0;1126;1432;0;13028;0;161;11;3034;1815;1646;1513;6810;513;26;692;2677;;;585;;;62910;1;0;408;5711;2242;3
7;2013;302;1;11;317;6700;480;176;3941;36;5;625;141;2242;256;4964;523;3;3;470;11;0;1150;1501;0;14585;0;174;13;3114;1794;1861;1734;6307;368;36;633;2392;;;591;;;64980;1;2;350;5957;2242;3
8;2013;407;3;17;344;6706;457;217;4304;30;4;610;127;2525;290;5333;627;1;3;535;8;0;1203;1549;0;13131;0;172;18;3241;1922;1904;1612;6659;405;27;605;2396;;;577;;;65047;3;0;454;6495;2525;3
9;2013;378;4;16;449;7150;509;245;4313;34;4;588;105;2382;282;5098;632;2;7;572;14;0;1107;1578;0;14246;0;169;13;2857;1973;1950;1463;6866;424;41;678;2470;;;699;;;65831;3;0;439;6302;2382;3
10;2013;377;3;12;441;7508;520;184;4142;41;5;546;120;2639;295;5531;579;1;4;529;8;0;1270;1588;0;13808;0;168;5;3139;2141;2077;1681;7117;497;38;735;2634;;;690;;;68030;2;1;430;6639;2639;3
11;2013;414;2;13;420;7278;467;189;4116;45;4;609;127;2644;309;5355;542;2;4;473;12;0;1243;1441;0;12646;1;152;14;2645;1836;1906;1646;6870;443;31;755;2394;;;681;;;63796;2;0;460;6370;2644;3
12;2013;461;5;17;532;8207;408;195;4184;41;6;661;117;2893;420;5667;523;1;2;436;11;0;1230;1498;0;13068;0;151;7;2678;1841;1867;1137;7452;483;43;566;2344;;;528;;;65609;0;0;526;6626;2893;3
1;2014;464;3;15;557;9050;555;194;4064;66;3;774;126;3206;489;6625;662;6;4;473;9;0;1396;1638;0;15624;0;178;31;3017;2356;2342;1490;9034;628;50;696;2682;;;562;;;75403;0;0;532;7760;3206;3
2;2014;482;5;16;543;8093;555;166;3787;63;3;728;140;3025;418;6555;621;4;5;461;14;0;1290;1484;0;14372;0;154;18;2873;2126;2167;1292;8049;520;56;742;2650;;;696;;;69434;1;0;559;7637;3025;3
3;2014;510;5;10;544;8357;479;214;3938;59;2;773;125;2947;401;7014;639;2;4;555;16;0;1235;1640;0;16363;1;175;17;2745;2046;2355;1541;8154;563;46;759;2677;;;632;;;72915;5;0;571;8208;2947;3
4;2014;449;1;17;559;7484;469;194;3638;41;3;758;120;3073;371;6777;657;3;5;554;9;0;1381;1498;0;12904;0;129;14;2700;2161;2426;1706;7440;532;37;662;2660;;;555;;;67358;1;0;505;7988;3073;3
5;2014;444;3;8;505;6249;442;161;3941;32;3;728;139;3073;520;7033;571;1;4;573;9;0;1279;1510;0;12721;0;163;17;2864;2086;2495;1934;6689;451;53;747;2835;;;628;;;66175;2;0;508;8177;3073;3
6;2014;377;1;18;503;7229;429;185;3831;25;3;649;104;2635;386;6716;565;0;2;616;6;0;1134;1391;0;13670;0;134;13;2793;2040;2003;1523;6843;447;45;769;2627;;;534;;;65397;2;0;441;7897;2635;3
7;2014;370;4;14;439;6070;442;156;3573;38;2;650;95;2479;442;7196;592;2;1;647;14;0;1246;1456;0;14896;0;125;6;3146;2220;2105;2110;6376;429;57;659;2645;;;658;;;67615;2;0;445;8435;2479;3
8;2014;373;4;9;419;6250;450;185;3964;38;3;546;104;2411;448;6715;505;3;2;748;5;0;1026;1493;0;12188;0;139;7;2871;2436;1995;1677;6609;493;45;746;2782;;;725;;;65097;2;0;431;7968;2411;3
9;2014;345;4;7;528;6884;482;153;4112;55;2;512;76;2270;481;6478;533;1;6;759;2;0;999;1341;0;12641;0;152;9;3000;2480;1951;2317;7125;510;49;696;2751;;;871;;;67511;1;0;405;7770;2270;3
10;2014;375;3;11;542;7247;474;163;4014;41;4;499;82;2289;545;6741;649;4;4;793;6;0;1215;1429;0;13106;0;184;8;3298;2344;1860;1661;7224;524;45;813;2798;;;956;;;68540;1;0;434;8183;2289;3
11;2014;345;2;11;582;7044;472;156;3821;48;4;524;97;2413;602;6248;609;2;2;820;6;0;1198;1377;0;12830;0;149;6;2824;2414;1671;1693;6837;558;63;738;2630;;;838;;;65986;1;0;421;7677;2413;3
12;2014;408;6;16;645;7604;427;153;3916;39;1;601;97;2830;787;6363;711;0;5;759;4;0;1303;1426;0;13342;0;125;22;2639;2224;1857;1294;7019;546;38;622;2604;;;725;;;67296;0;0;468;7833;2830;3
1;2015;439;1;11;618;7747;485;166;3522;54;2;666;105;2874;735;6928;702;2;4;915;3;0;1433;1593;0;14761;1;143;9;3171;2492;2328;1580;7272;577;65;810;;3430;4442;;956;980;71617;3;0;516;8545;2874;3
2;2015;326;8;10;479;6757;346;134;2966;43;2;562;78;2494;507;6421;499;3;4;906;10;0;1389;1334;0;15970;0;124;14;2378;2334;1969;1467;6135;500;83;752;;3329;4277;;921;945;65058;1;0;427;7826;2494;3
3;2015;382;1;15;545;6795;439;144;3600;55;13;609;106;2861;548;6145;586;2;3;904;13;0;1442;1521;0;14201;0;186;17;3266;2514;2310;1748;7088;593;54;879;;3851;4987;;990;1026;69267;3;0;452;7635;2861;3
4;2015;339;4;21;490;6293;420;142;3358;38;1;526;87;2690;481;5551;636;5;5;890;12;0;1264;1321;0;12823;1;154;13;2657;2252;1968;1955;6259;504;59;761;;3494;4879;;894;918;63077;2;0;423;7077;2690;3
5;2015;347;2;8;482;5844;354;159;3322;44;4;525;83;2451;559;5416;643;3;1;916;5;0;1363;1432;0;13402;1;206;7;3019;2256;2031;1874;5992;520;44;787;;3641;4800;;792;818;64230;4;1;401;6975;2451;3
6;2015;272;2;16;477;5535;389;140;3369;52;4;465;96;2254;566;4421;619;3;1;896;5;3;1349;1333;5;12931;0;192;10;2940;2134;1768;1672;5678;493;44;703;;3569;4653;;760;775;60357;1;1;334;5936;2254;3
7;2015;306;2;9;484;5711;427;146;3399;38;2;595;96;2425;542;4844;602;1;3;964;8;24;1265;1381;220;12680;0;183;11;3146;2543;1905;1802;5917;498;61;733;;3486;4647;;845;866;63135;2;1;378;6410;2425;3
8;2015;336;2;11;467;6268;436;154;3603;45;1;530;100;2322;486;4825;628;0;2;1109;5;17;1266;1390;170;12587;0;191;10;2970;2461;1837;1776;5993;487;49;812;;3635;4804;;876;885;63173;0;0;398;6562;2322;3
9;2015;351;0;6;598;6165;388;141;3304;48;8;561;91;2417;536;4760;793;2;2;1195;8;21;1276;1419;187;13875;1;162;6;2760;2267;1851;1668;5914;592;58;705;;3289;4418;;860;887;63327;2;0;415;6748;2417;3
10;2015;380;2;10;410;6531;383;150;3400;34;2;514;109;2500;661;5076;719;1;3;1073;3;19;1308;1388;201;12605;0;156;14;2959;2410;1848;1722;6422;509;52;697;;3392;4522;;880;896;64029;0;0;444;6868;2500;3
11;2015;340;5;5;479;6774;405;156;3072;31;4;591;115;2611;684;5410;651;2;4;1167;4;17;1303;1455;149;12352;0;193;7;3046;2213;1925;1644;6124;552;47;654;;3361;4440;;790;807;63006;2;0;397;7228;2611;3
12;2015;382;3;11;480;6956;415;152;3456;51;5;612;122;3136;920;5640;727;3;1;1103;7;17;1530;1377;154;13628;0;138;15;3283;2213;1923;1379;6138;523;29;663;;2901;3880;;698;729;67080;3;0;425;7470;3136;3
1;2016;406;2;18;518;6319;407;174;2827;49;3;618;123;3358;732;7209;814;2;1;1342;6;23;1445;1515;147;14250;0;137;5;3042;2249;2341;1376;5660;606;53;727;;3217;4116;;900;957;67980;1;0;479;9365;3358;3
2;2016;404;6;22;497;6573;329;139;2865;43;7;579;114;3056;621;7753;813;3;2;1376;4;14;1818;1456;168;14935;0;118;6;2673;2092;2103;1437;5767;481;49;768;;3424;4351;;808;887;68785;0;0;481;9942;3056;3
3;2016;445;2;18;552;6358;380;111;2929;59;6;599;97;3392;636;7455;909;3;10;1448;11;17;1617;1409;173;12590;0;195;6;3271;2287;2499;1639;6167;501;61;856;;3735;4773;;1005;1032;68196;4;0;526;9812;3392;3
4;2016;475;1;15;549;5772;428;140;3056;36;1;575;107;3259;727;6774;896;2;2;1456;8;13;1692;1438;171;11424;1;151;9;2936;2047;2392;1354;5317;468;78;786;;3357;4282;;851;904;63881;3;1;569;9126;3259;3
5;2016;369;4;16;480;5336;371;145;2869;38;7;599;91;3258;734;7446;1026;0;2;1447;3;15;1800;1541;197;11778;0;141;7;3360;2125;2417;1529;4999;456;84;806;;3395;4394;;734;869;65276;5;1;473;9919;3258;3
6;2016;373;5;25;421;4680;368;122;2940;43;1;517;120;3310;698;8000;1114;3;3;1617;5;19;1706;1454;160;11120;0;109;4;3097;1972;2393;1650;4981;427;75;742;;3298;4388;;740;869;64330;1;0;478;10731;3310;3
7;2016;368;8;15;482;5639;394;144;3019;50;1;631;100;3105;700;7834;1144;1;8;1681;5;17;1607;1300;148;11833;2;126;3;3129;2221;2399;1551;5178;497;74;702;;3447;4456;;639;779;66294;3;0;465;10659;3105;3
8;2016;387;4;14;530;5371;390;159;3209;41;1;642;103;3041;759;8032;1173;1;2;1754;7;13;1690;1241;161;14549;0;109;5;3484;2148;2084;1381;5239;437;74;659;;3377;4198;;769;825;69548;7;0;479;10959;3041;3
9;2016;425;3;19;478;5681;431;153;2864;45;3;668;110;3439;892;8050;1310;2;4;1805;2;21;1760;1281;193;12393;1;128;3;3038;2057;2365;1179;5489;463;88;683;;3073;3756;;831;852;67474;1;0;535;11165;3439;3
10;2016;465;7;30;511;6372;412;171;2992;44;2;645;110;4181;944;8957;1526;3;3;1947;8;18;1883;1367;183;12153;5;152;4;3279;1888;2480;1099;5537;566;87;715;;3134;3781;;780;817;70271;2;0;589;12430;4181;3
11;2016;461;8;18;528;5708;392;142;2622;46;2;663;136;4111;1102;8676;1611;2;9;1880;8;8;2015;1394;146;11452;1;127;10;2798;1901;2712;1083;5197;493;94;745;;3171;3780;;825;855;66725;7;0;581;12167;4111;3
12;2016;464;6;29;509;6254;403;183;2758;47;3;552;107;4186;1329;7632;1395;2;5;1796;5;13;2136;1363;166;11989;1;117;3;2805;2029;2505;1067;5317;510;108;821;;3338;4022;;797;824;67283;4;0;607;10823;4186;3
1;2017;476;1;25;550;4711;409;151;1763;45;1;333;81;4207;693;5146;831;3;3;1138;1;8;1785;1357;128;8586;0;84;7;1727;2025;3150;951;3794;367;98;753;;3107;3724;;795;824;51390;4;0;600;7115;4207;2
2;2017;502;4;26;453;2525;324;166;851;39;1;277;49;4287;452;2265;487;0;4;552;3;4;1340;1310;39;4444;0;48;6;717;1266;2307;879;1409;236;84;569;;2623;3210;;553;594;31230;1;0;616;3304;4287;2
3;2017;497;6;28;450;3901;421;171;1400;33;1;522;97;5004;780;6132;1310;3;7;1950;4;21;3678;1428;158;12030;3;128;1;1996;1706;2932;1429;3058;350;120;769;;3539;4348;;823;845;60414;1;0;651;9392;5004;2
4;2017;430;1;22;538;5666;363;179;2384;27;2;651;127;4891;1032;8551;1591;1;6;2519;7;14;3539;1289;204;11217;0;132;6;2616;1814;3481;1307;4596;361;81;746;;3447;4219;;698;740;67964;7;0;534;12661;4891;2
